KYR;Kyrgystan;;;;;;;;;;;;;x;;;;
KYR_ADJ;Kyrgystan;;;;;;;;;;;;;x;;;;
KYR_social_democrat;Democratic Socialists of Kyrgystan;;;;;;;;;;;;;x;;;;
KYR_socialist;Socialist Party of Kyrgystan;;;;;;;;;;;;;x;;;;
KYR_communist;Kyrgystan Revolutionary Party;;;;;;;;;;;;;x;;;;
KYR_liberal;Kyrgystan Democratic Party;;;;;;;;;;;;;x;;;;
KYR_anarcho_liberal;Kyrgystan Libertarian Party;;;;;;;;;;;;;x;;;;
KYR_green;Kyrgystan Green Party;;;;;;;;;;;;;x;;;;
KYR_conservative;Kyrgystan Republican Party;;;;;;;;;;;;;x;;;;
KYR_nationalist;Kyrgystan Party;;;;;;;;;;;;;x;;;;
KYR_traditionalist;Kyrgystan Constitution Party;;;;;;;;;;;;;x;;;;
KYR_ultranationalist;Kyrgystan Ultranationalist;;;;;;;;;;;;;x;;;;
