KYT;Kyoto;;;;;;;;;;;;;x;;;;
KYT_ADJ;Kyoto;;;;;;;;;;;;;x;;;;
KYT_social_democrat;Democratic Socialists of Kyoto;;;;;;;;;;;;;x;;;;
KYT_socialist;Socialist Party of Kyoto;;;;;;;;;;;;;x;;;;
KYT_communist;Kyoto Revolutionary Party;;;;;;;;;;;;;x;;;;
KYT_liberal;Kyoto Democratic Party;;;;;;;;;;;;;x;;;;
KYT_anarcho_liberal;Kyoto Libertarian Party;;;;;;;;;;;;;x;;;;
KYT_green;Kyoto Green Party;;;;;;;;;;;;;x;;;;
KYT_conservative;Kyoto Republican Party;;;;;;;;;;;;;x;;;;
KYT_nationalist;Kyoto Party;;;;;;;;;;;;;x;;;;
KYT_traditionalist;Kyoto Constitution Party;;;;;;;;;;;;;x;;;;
KYT_ultranationalist;Kyoto Ultranationalist;;;;;;;;;;;;;x;;;;
