LAO;Laos;;;;;;;;;;;;;x;;;;
LAO_ADJ;Laos;;;;;;;;;;;;;x;;;;
LAO_social_democrat;Democratic Socialists of Laos;;;;;;;;;;;;;x;;;;
LAO_socialist;Socialist Party of Laos;;;;;;;;;;;;;x;;;;
LAO_communist;Laos Revolutionary Party;;;;;;;;;;;;;x;;;;
LAO_liberal;Laos Democratic Party;;;;;;;;;;;;;x;;;;
LAO_anarcho_liberal;Laos Libertarian Party;;;;;;;;;;;;;x;;;;
LAO_green;Laos Green Party;;;;;;;;;;;;;x;;;;
LAO_conservative;Laos Republican Party;;;;;;;;;;;;;x;;;;
LAO_nationalist;Laos Party;;;;;;;;;;;;;x;;;;
LAO_traditionalist;Laos Constitution Party;;;;;;;;;;;;;x;;;;
LAO_ultranationalist;Laos Ultranationalist;;;;;;;;;;;;;x;;;;
