LEB;Lebanon;;;;;;;;;;;;;x;;;;
LEB_ADJ;Lebanese;;;;;;;;;;;;;x;;;;
LEB_social_democrat;Democratic Socialists of Lebanon;;;;;;;;;;;;;x;;;;
LEB_socialist;Socialist Party of Lebanon;;;;;;;;;;;;;x;;;;
LEB_communist;Lebanon Revolutionary Party;;;;;;;;;;;;;x;;;;
LEB_liberal;Lebanon Democratic Party;;;;;;;;;;;;;x;;;;
LEB_anarcho_liberal;Lebanon Libertarian Party;;;;;;;;;;;;;x;;;;
LEB_green;Lebanon Green Party;;;;;;;;;;;;;x;;;;
LEB_conservative;Lebanon Republican Party;;;;;;;;;;;;;x;;;;
LEB_nationalist;Lebanon Party;;;;;;;;;;;;;x;;;;
LEB_traditionalist;Lebanon Constitution Party;;;;;;;;;;;;;x;;;;
LEB_ultranationalist;Lebanon Ultranationalist;;;;;;;;;;;;;x;;;;
