LTH;Lithuania;;;;;;;;;;;;;x;;;;
LTH_ADJ;Lithuanian;;;;;;;;;;;;;x;;;;
LTH_social_democrat;Democratic Socialists of Lithuania;;;;;;;;;;;;;x;;;;
LTH_socialist;Socialist Party of Lithuania;;;;;;;;;;;;;x;;;;
LTH_communist;Lithuania Revolutionary Party;;;;;;;;;;;;;x;;;;
LTH_liberal;Lithuania Democratic Party;;;;;;;;;;;;;x;;;;
LTH_anarcho_liberal;Lithuania Libertarian Party;;;;;;;;;;;;;x;;;;
LTH_green;Lithuania Green Party;;;;;;;;;;;;;x;;;;
LTH_conservative;Lithuania Republican Party;;;;;;;;;;;;;x;;;;
LTH_nationalist;Lithuania Party;;;;;;;;;;;;;x;;;;
LTH_traditionalist;Lithuania Constitution Party;;;;;;;;;;;;;x;;;;
LTH_ultranationalist;Lithuania Ultranationalist;;;;;;;;;;;;;x;;;;
