MAD;Madagascar;;;;;;;;;;;;;x;;;;
MAD_ADJ;Madagascar;;;;;;;;;;;;;x;;;;
MAD_social_democrat;Democratic Socialists of Madagascar;;;;;;;;;;;;;x;;;;
MAD_socialist;Socialist Party of Madagascar;;;;;;;;;;;;;x;;;;
MAD_communist;Madagascar Revolutionary Party;;;;;;;;;;;;;x;;;;
MAD_liberal;Madagascar Democratic Party;;;;;;;;;;;;;x;;;;
MAD_anarcho_liberal;Madagascar Libertarian Party;;;;;;;;;;;;;x;;;;
MAD_green;Madagascar Green Party;;;;;;;;;;;;;x;;;;
MAD_conservative;Madagascar Republican Party;;;;;;;;;;;;;x;;;;
MAD_nationalist;Madagascar Party;;;;;;;;;;;;;x;;;;
MAD_traditionalist;Madagascar Constitution Party;;;;;;;;;;;;;x;;;;
MAD_ultranationalist;Madagascar Ultranationalist;;;;;;;;;;;;;x;;;;
