MAL;Maldives;;;;;;;;;;;;;x;;;;
MAL_ADJ;Maldives;;;;;;;;;;;;;x;;;;
MAL_social_democrat;Democratic Socialists of Maldives;;;;;;;;;;;;;x;;;;
MAL_socialist;Socialist Party of Maldives;;;;;;;;;;;;;x;;;;
MAL_communist;Maldives Revolutionary Party;;;;;;;;;;;;;x;;;;
MAL_liberal;Maldives Democratic Party;;;;;;;;;;;;;x;;;;
MAL_anarcho_liberal;Maldives Libertarian Party;;;;;;;;;;;;;x;;;;
MAL_green;Maldives Green Party;;;;;;;;;;;;;x;;;;
MAL_conservative;Maldives Republican Party;;;;;;;;;;;;;x;;;;
MAL_nationalist;Maldives Party;;;;;;;;;;;;;x;;;;
MAL_traditionalist;Maldives Constitution Party;;;;;;;;;;;;;x;;;;
MAL_ultranationalist;Maldives Ultranationalist;;;;;;;;;;;;;x;;;;
