MAR;Canadian Maritimes;;;;;;;;;;;;;x;;;;
MAR_ADJ;Canadian Maritime;;;;;;;;;;;;;x;;;;
MAR_social_democrat;Eastern New Democratic Party;;;;;;;;;;;;;x;;;;
MAR_socialist;Maritimes Labour Party;;;;;;;;;;;;;x;;;;
MAR_communist;Maritimes Marxist-Leninist Party;;;;;;;;;;;;;x;;;;
MAR_liberal;Eastern Liberal Party;;;;;;;;;;;;;x;;;;
MAR_anarcho_liberal;Maritime Libertarian Party;;;;;;;;;;;;;x;;;;
MAR_green;Maritime Green Party;;;;;;;;;;;;;x;;;;
MAR_conservative;Maritime Progressive Conservative Party;;;;;;;;;;;;;x;;;;
MAR_nationalist;Nova Scotian Party - Moderates;;;;;;;;;;;;;x;;;;
MAR_traditionalist;Maritimes Social Credit Party;;;;;;;;;;;;;x;;;;
MAR_ultranationalist;Nova Scotian Party - Radicals;;;;;;;;;;;;;x;;;;
