MEX;Mexico;;;;;;;;;;;;;x;;;;
MEX_ADJ;Mexician;;;;;;;;;;;;;x;;;;
MEX_social_democrat;Democratic Socialists of Mexico;;;;;;;;;;;;;x;;;;
MEX_socialist;Socialist Party of Mexico;;;;;;;;;;;;;x;;;;
MEX_communist;Mexico Revolutionary Party;;;;;;;;;;;;;x;;;;
MEX_liberal;Mexico Democratic Party;;;;;;;;;;;;;x;;;;
MEX_anarcho_liberal;Mexico Libertarian Party;;;;;;;;;;;;;x;;;;
MEX_green;Mexico Green Party;;;;;;;;;;;;;x;;;;
MEX_conservative;Mexico Republican Party;;;;;;;;;;;;;x;;;;
MEX_nationalist;Mexico Party;;;;;;;;;;;;;x;;;;
MEX_traditionalist;Mexico Constitution Party;;;;;;;;;;;;;x;;;;
MEX_ultranationalist;Mexico Ultranationalist;;;;;;;;;;;;;x;;;;
