MIZ;Mizoram;;;;;;;;;;;;;x;;;;
MIZ_ADJ;Mizoram;;;;;;;;;;;;;x;;;;
MIZ_social_democrat;Democratic Socialists of Mizoram;;;;;;;;;;;;;x;;;;
MIZ_socialist;Socialist Party of Mizoram;;;;;;;;;;;;;x;;;;
MIZ_communist;Mizoram Revolutionary Party;;;;;;;;;;;;;x;;;;
MIZ_liberal;Mizoram Democratic Party;;;;;;;;;;;;;x;;;;
MIZ_anarcho_liberal;Mizoram Libertarian Party;;;;;;;;;;;;;x;;;;
MIZ_green;Mizoram Green Party;;;;;;;;;;;;;x;;;;
MIZ_conservative;Mizoram Republican Party;;;;;;;;;;;;;x;;;;
MIZ_nationalist;Mizoram Party;;;;;;;;;;;;;x;;;;
MIZ_traditionalist;Mizoram Constitution Party;;;;;;;;;;;;;x;;;;
MIZ_ultranationalist;Mizoram Ultranationalist;;;;;;;;;;;;;x;;;;
