MLY;Malaysia;;;;;;;;;;;;;x;;;;
MLY_ADJ;Malaysia;;;;;;;;;;;;;x;;;;
MLY_social_democrat;Democratic Socialists of Malaysia;;;;;;;;;;;;;x;;;;
MLY_socialist;Socialist Party of Malaysia;;;;;;;;;;;;;x;;;;
MLY_communist;Malaysia Revolutionary Party;;;;;;;;;;;;;x;;;;
MLY_liberal;Malaysia Democratic Party;;;;;;;;;;;;;x;;;;
MLY_anarcho_liberal;Malaysia Libertarian Party;;;;;;;;;;;;;x;;;;
MLY_green;Malaysia Green Party;;;;;;;;;;;;;x;;;;
MLY_conservative;Malaysia Republican Party;;;;;;;;;;;;;x;;;;
MLY_nationalist;Malaysia Party;;;;;;;;;;;;;x;;;;
MLY_traditionalist;Malaysia Constitution Party;;;;;;;;;;;;;x;;;;
MLY_ultranationalist;Malaysia Ultranationalist;;;;;;;;;;;;;x;;;;
