MND;Mindanao;;;;;;;;;;;;;x;;;;
MND_ADJ;Mindanao;;;;;;;;;;;;;x;;;;
MND_social_democrat;Democratic Socialists of Mindanao;;;;;;;;;;;;;x;;;;
MND_socialist;Socialist Party of Mindanao;;;;;;;;;;;;;x;;;;
MND_communist;Mindanao Revolutionary Party;;;;;;;;;;;;;x;;;;
MND_liberal;Mindanao Democratic Party;;;;;;;;;;;;;x;;;;
MND_anarcho_liberal;Mindanao Libertarian Party;;;;;;;;;;;;;x;;;;
MND_green;Mindanao Green Party;;;;;;;;;;;;;x;;;;
MND_conservative;Mindanao Republican Party;;;;;;;;;;;;;x;;;;
MND_nationalist;Mindanao Party;;;;;;;;;;;;;x;;;;
MND_traditionalist;Mindanao Constitution Party;;;;;;;;;;;;;x;;;;
MND_ultranationalist;Mindanao Ultranationalist;;;;;;;;;;;;;x;;;;
