MNH;Minahasa;;;;;;;;;;;;;x;;;;
MNH_ADJ;Minahasa;;;;;;;;;;;;;x;;;;
MNH_social_democrat;Democratic Socialists of Minahasa;;;;;;;;;;;;;x;;;;
MNH_socialist;Socialist Party of Minahasa;;;;;;;;;;;;;x;;;;
MNH_communist;Minahasa Revolutionary Party;;;;;;;;;;;;;x;;;;
MNH_liberal;Minahasa Democratic Party;;;;;;;;;;;;;x;;;;
MNH_anarcho_liberal;Minahasa Libertarian Party;;;;;;;;;;;;;x;;;;
MNH_green;Minahasa Green Party;;;;;;;;;;;;;x;;;;
MNH_conservative;Minahasa Republican Party;;;;;;;;;;;;;x;;;;
MNH_nationalist;Minahasa Party;;;;;;;;;;;;;x;;;;
MNH_traditionalist;Minahasa Constitution Party;;;;;;;;;;;;;x;;;;
MNH_ultranationalist;Minahasa Ultranationalist;;;;;;;;;;;;;x;;;;
