MNK;Minangkabau;;;;;;;;;;;;;x;;;;
MNK_ADJ;Minangkabau;;;;;;;;;;;;;x;;;;
MNK_social_democrat;Democratic Socialists of Minangkabau;;;;;;;;;;;;;x;;;;
MNK_socialist;Socialist Party of Minangkabau;;;;;;;;;;;;;x;;;;
MNK_communist;Minangkabau Revolutionary Party;;;;;;;;;;;;;x;;;;
MNK_liberal;Minangkabau Democratic Party;;;;;;;;;;;;;x;;;;
MNK_anarcho_liberal;Minangkabau Libertarian Party;;;;;;;;;;;;;x;;;;
MNK_green;Minangkabau Green Party;;;;;;;;;;;;;x;;;;
MNK_conservative;Minangkabau Republican Party;;;;;;;;;;;;;x;;;;
MNK_nationalist;Minangkabau Party;;;;;;;;;;;;;x;;;;
MNK_traditionalist;Minangkabau Constitution Party;;;;;;;;;;;;;x;;;;
MNK_ultranationalist;Minangkabau Ultranationalist;;;;;;;;;;;;;x;;;;
