MNL;Manila;;;;;;;;;;;;;x;;;;
MNL_ADJ;Manila;;;;;;;;;;;;;x;;;;
MNL_social_democrat;Democratic Socialists of Manila;;;;;;;;;;;;;x;;;;
MNL_socialist;Socialist Party of Manila;;;;;;;;;;;;;x;;;;
MNL_communist;Manila Revolutionary Party;;;;;;;;;;;;;x;;;;
MNL_liberal;Manila Democratic Party;;;;;;;;;;;;;x;;;;
MNL_anarcho_liberal;Manila Libertarian Party;;;;;;;;;;;;;x;;;;
MNL_green;Manila Green Party;;;;;;;;;;;;;x;;;;
MNL_conservative;Manila Republican Party;;;;;;;;;;;;;x;;;;
MNL_nationalist;Manila Party;;;;;;;;;;;;;x;;;;
MNL_traditionalist;Manila Constitution Party;;;;;;;;;;;;;x;;;;
MNL_ultranationalist;Manila Ultranationalist;;;;;;;;;;;;;x;;;;
