MOR;Morocco;;;;;;;;;;;;;x;;;;
MOR_ADJ;Morocco;;;;;;;;;;;;;x;;;;
MOR_social_democrat;Democratic Socialists of Morocco;;;;;;;;;;;;;x;;;;
MOR_socialist;Socialist Party of Morocco;;;;;;;;;;;;;x;;;;
MOR_communist;Morocco Revolutionary Party;;;;;;;;;;;;;x;;;;
MOR_liberal;Morocco Democratic Party;;;;;;;;;;;;;x;;;;
MOR_anarcho_liberal;Morocco Libertarian Party;;;;;;;;;;;;;x;;;;
MOR_green;Morocco Green Party;;;;;;;;;;;;;x;;;;
MOR_conservative;Morocco Republican Party;;;;;;;;;;;;;x;;;;
MOR_nationalist;Morocco Party;;;;;;;;;;;;;x;;;;
MOR_traditionalist;Morocco Constitution Party;;;;;;;;;;;;;x;;;;
MOR_ultranationalist;Morocco Ultranationalist;;;;;;;;;;;;;x;;;;
