MRO;Moro;;;;;;;;;;;;;x;;;;
MRO_ADJ;Moro;;;;;;;;;;;;;x;;;;
MRO_social_democrat;Democratic Socialists of Moro;;;;;;;;;;;;;x;;;;
MRO_socialist;Socialist Party of Moro;;;;;;;;;;;;;x;;;;
MRO_communist;Moro Revolutionary Party;;;;;;;;;;;;;x;;;;
MRO_liberal;Moro Democratic Party;;;;;;;;;;;;;x;;;;
MRO_anarcho_liberal;Moro Libertarian Party;;;;;;;;;;;;;x;;;;
MRO_green;Moro Green Party;;;;;;;;;;;;;x;;;;
MRO_conservative;Moro Republican Party;;;;;;;;;;;;;x;;;;
MRO_nationalist;Moro Party;;;;;;;;;;;;;x;;;;
MRO_traditionalist;Moro Constitution Party;;;;;;;;;;;;;x;;;;
MRO_ultranationalist;Moro Ultranationalist;;;;;;;;;;;;;x;;;;
