NAU;Nauru;;;;;;;;;;;;;x;;;;
NAU_ADJ;Nauru;;;;;;;;;;;;;x;;;;
NAU_social_democrat;Democratic Socialists of Nauru;;;;;;;;;;;;;x;;;;
NAU_socialist;Socialist Party of Nauru;;;;;;;;;;;;;x;;;;
NAU_communist;Nauru Revolutionary Party;;;;;;;;;;;;;x;;;;
NAU_liberal;Nauru Democratic Party;;;;;;;;;;;;;x;;;;
NAU_anarcho_liberal;Nauru Libertarian Party;;;;;;;;;;;;;x;;;;
NAU_green;Nauru Green Party;;;;;;;;;;;;;x;;;;
NAU_conservative;Nauru Republican Party;;;;;;;;;;;;;x;;;;
NAU_nationalist;Nauru Party;;;;;;;;;;;;;x;;;;
NAU_traditionalist;Nauru Constitution Party;;;;;;;;;;;;;x;;;;
NAU_ultranationalist;Nauru Ultranationalist;;;;;;;;;;;;;x;;;;
