NEN;New England;;;;;;;;;;;;;x;;;;
NEN_ADJ;New Englander;;;;;;;;;;;;;x;;;;
NEN_social_democrat;Democratic Socialists of New England;;;;;;;;;;;;;x;;;;
NEN_socialist;Socialist Party of New England;;;;;;;;;;;;;x;;;;
NEN_communist;New England Communist Party;;;;;;;;;;;;;x;;;;
NEN_liberal;Democratic Party of New England;;;;;;;;;;;;;x;;;;
NEN_anarcho_liberal;Libertarian Party of New England;;;;;;;;;;;;;x;;;;
NEN_green;Green Party of New England;;;;;;;;;;;;;x;;;;
NEN_conservative;Republican Party of New England;;;;;;;;;;;;;x;;;;
NEN_nationalist;New England Autonomists;;;;;;;;;;;;;x;;;;
NEN_traditionalist;New England Constitution Party;;;;;;;;;;;;;x;;;;
NEN_ultranationalist;Minutemen;;;;;;;;;;;;;x;;;;
