NEP;Nepal;;;;;;;;;;;;;x;;;;
NEP_ADJ;Nepal;;;;;;;;;;;;;x;;;;
NEP_social_democrat;Democratic Socialists of Nepal;;;;;;;;;;;;;x;;;;
NEP_socialist;Socialist Party of Nepal;;;;;;;;;;;;;x;;;;
NEP_communist;Nepal Revolutionary Party;;;;;;;;;;;;;x;;;;
NEP_liberal;Nepal Democratic Party;;;;;;;;;;;;;x;;;;
NEP_anarcho_liberal;Nepal Libertarian Party;;;;;;;;;;;;;x;;;;
NEP_green;Nepal Green Party;;;;;;;;;;;;;x;;;;
NEP_conservative;Nepal Republican Party;;;;;;;;;;;;;x;;;;
NEP_nationalist;Nepal Party;;;;;;;;;;;;;x;;;;
NEP_traditionalist;Nepal Constitution Party;;;;;;;;;;;;;x;;;;
NEP_ultranationalist;Nepal Ultranationalist;;;;;;;;;;;;;x;;;;
