NET;Netherlands;;;;;;;;;;;;;x;;;;
NET_ADJ;Dutch;;;;;;;;;;;;x;;;;
NET_social_democrat;Democratic Socialists of the Netherlands;;;;;;;;;;;;;x;;;;
NET_socialist;Dutch Independence Party;;;;;;;;;;;;;x;;;;
NET_communist;Dutch Revolutionary Party;;;;;;;;;;;;;x;;;;
NET_liberal;Dutch Democratic Party;;;;;;;;;;;;;x;;;;
NET_anarcho_liberal;Dutch Libertarian Party;;;;;;;;;;;;;x;;;;
NET_green;Dutch Green Party;;;;;;;;;;;;;x;;;;
NET_conservative;Dutch Republican Party;;;;;;;;;;;;;x;;;;
NET_nationalist;Dutch Party;;;;;;;;;;;;;x;;;;
NET_traditionalist;Dutch Constitution Party;;;;;;;;;;;;;x;;;;
NET_ultranationalist;Dutch Ultranationalist;;;;;;;;;;;;;x;;;;
