NIR;Northern Ireland;;;;;;;;;;;;;x;;;;
NIR_ADJ;Northern Irish;;;;;;;;;;;;;x;;;;
NIR_social_democrat;Democratic Socialists of Northern Ireland;;;;;;;;;;;;;x;;;;
NIR_socialist;Socialist Party of Northern Ireland;;;;;;;;;;;;;x;;;;
NIR_communist;Northern Ireland Revolutionary Party;;;;;;;;;;;;;x;;;;
NIR_liberal;Northern Ireland Democratic Party;;;;;;;;;;;;;x;;;;
NIR_anarcho_liberal;Northern Ireland Libertarian Party;;;;;;;;;;;;;x;;;;
NIR_green;Northern Ireland Green Party;;;;;;;;;;;;;x;;;;
NIR_conservative;Northern Ireland Republican Party;;;;;;;;;;;;;x;;;;
NIR_nationalist;Northern Ireland Party;;;;;;;;;;;;;x;;;;
NIR_traditionalist;Northern Ireland Constitution Party;;;;;;;;;;;;;x;;;;
NIR_ultranationalist;Northern Ireland Ultranationalist;;;;;;;;;;;;;x;;;;
