NOL;New Orleans;;;;;;;;;;;;;x;;;;
NOL_ADJ;New Orleanian;;;;;;;;;;;;;x;;;;
NOL_social_democrat;Democratic Socialists of New Orleans;;;;;;;;;;;;;x;;;;
NOL_socialist;Socialist Party of New Orleans;;;;;;;;;;;;;x;;;;
NOL_communist;New Orleans Communist Party;;;;;;;;;;;;;x;;;;
NOL_liberal;New Orleans Democratic Party;;;;;;;;;;;;;x;;;;
NOL_anarcho_liberal;Libertarian Party of New Orleans;;;;;;;;;;;;;x;;;;
NOL_green;Green Party of New Orleans;;;;;;;;;;;;;x;;;;
NOL_conservative;New Orleans Republican Party;;;;;;;;;;;;;x;;;;
NOL_nationalist;New Orleans Autonomists;;;;;;;;;;;;;x;;;;
NOL_traditionalist;Constitution Party of New Orleans;;;;;;;;;;;;;x;;;;
NOL_ultranationalist;Cajun Party;;;;;;;;;;;;;x;;;;
