NTX;North Texas;;;;;;;;;;;;;x;;;;
NTX_ADJ;North Texan;;;;;;;;;;;;;x;;;;
NTX_social_democrat;Texas Red Coalition - Centrist;;;;;;;;;;;;;x;;;;
NTX_socialist;Texas Red Coalition - Radical;;;;;;;;;;;;;x;;;;
NTX_communist;Texas Red Coalition - Hardline;;;;;;;;;;;;;x;;;;
NTX_liberal;Texan Autonomists - Centrist;;;;;;;;;;;;;x;;;;
NTX_anarcho_liberal;Texan Autonomists - Radical;;;;;;;;;;;;;x;;;;
NTX_green;Texas Red Coalition - Greens;;;;;;;;;;;;;x;;;;
NTX_conservative;United Republican Front - Centrist;;;;;;;;;;;;;x;;;;
NTX_nationalist;United Republican Front - Nationalist;;;;;;;;;;;;;x;;;;
NTX_traditionalist;United Republican Front - Radical;;;;;;;;;;;;;x;;;;
NTX_ultranationalist;United Republican Front - Hardline;;;;;;;;;;;;;x;;;;
