NYC;New York City;;;;;;;;;;;;;x;;;;
NYC_ADJ;New Yorker;;;;;;;;;;;;;x;;;;
NYC_social_democrat;Democratic Socialists of New York;;;;;;;;;;;;;x;;;;
NYC_socialist;Socialist Party of New York;;;;;;;;;;;;;x;;;;
NYC_communist;New York Communist Party;;;;;;;;;;;;;x;;;;
NYC_liberal;Democratic Party of New York;;;;;;;;;;;;;x;;;;
NYC_anarcho_liberal;Libertarian Party of New York;;;;;;;;;;;;;x;;;;
NYC_green;Green Party of New York;;;;;;;;;;;;;x;;;;
NYC_conservative;Republican Party of New York;;;;;;;;;;;;;x;;;;
NYC_nationalist;New York Autonomists;;;;;;;;;;;;;x;;;;
NYC_traditionalist;Constitution Party of New York;;;;;;;;;;;;;x;;;;
NYC_ultranationalist;Liberty Party;;;;;;;;;;;;;x;;;;
