ORO;Oromo;;;;;;;;;;;;;x;;;;
ORO_ADJ;Oromo;;;;;;;;;;;;;x;;;;
ORO_social_democrat;Democratic Socialists of Oromo;;;;;;;;;;;;;x;;;;
ORO_socialist;Socialist Party of Oromo;;;;;;;;;;;;;x;;;;
ORO_communist;Oromo Revolutionary Party;;;;;;;;;;;;;x;;;;
ORO_liberal;Oromo Democratic Party;;;;;;;;;;;;;x;;;;
ORO_anarcho_liberal;Oromo Libertarian Party;;;;;;;;;;;;;x;;;;
ORO_green;Oromo Green Party;;;;;;;;;;;;;x;;;;
ORO_conservative;Oromo Republican Party;;;;;;;;;;;;;x;;;;
ORO_nationalist;Oromo Party;;;;;;;;;;;;;x;;;;
ORO_traditionalist;Oromo Constitution Party;;;;;;;;;;;;;x;;;;
ORO_ultranationalist;Oromo Ultranationalist;;;;;;;;;;;;;x;;;;
