PAR;Paraguay;;;;;;;;;;;;;x;;;;
PAR_ADJ;Paraguayan;;;;;;;;;;;;;x;;;;
PAR_social_democrat;Democratic Socialists of Paraguay;;;;;;;;;;;;;x;;;;
PAR_socialist;Socialist Party of Paraguay;;;;;;;;;;;;;x;;;;
PAR_communist;Communist Party of Paraguay;;;;;;;;;;;;;x;;;;
PAR_liberal;Paraguayan Democratic Party;;;;;;;;;;;;;x;;;;
PAR_anarcho_liberal;Paraguayan Libertarian Party;;;;;;;;;;;;;x;;;;
PAR_green;Paraguayan Green Party;;;;;;;;;;;;;x;;;;
PAR_conservative;Paraguayan Republican Party;;;;;;;;;;;;;x;;;;
PAR_nationalist;Paraguayan Party;;;;;;;;;;;;;x;;;;
PAR_traditionalist;Paraguayan Constitution Party;;;;;;;;;;;;;x;;;;
PAR_ultranationalist;Paraguayan Ultranationalist;;;;;;;;;;;;;x;;;;
