
PAT;Patagonia;;;;;;;;;;;;;x;;;;
PAT_ADJ;Patagonian;;;;;;;;;;;;;x;;;;
PAT_social_democrat;Democratic Socialists of Patagonia;;;;;;;;;;;;;x;;;;
PAT_socialist;Socialist Party of Patagonia;;;;;;;;;;;;;x;;;;
PAT_communist;Communist Party of Patagonia;;;;;;;;;;;;;x;;;;
PAT_liberal;Patagonian Democratic Party;;;;;;;;;;;;;x;;;;
PAT_anarcho_liberal;Patagonian Libertarian Party;;;;;;;;;;;;;x;;;;
PAT_green;Patagonian Green Party;;;;;;;;;;;;;x;;;;
PAT_conservative;Patagonian Republican Party;;;;;;;;;;;;;x;;;;
PAT_nationalist;Patagonian Party;;;;;;;;;;;;;x;;;;
PAT_traditionalist;Patagonian Constitution Party;;;;;;;;;;;;;x;;;;
PAT_ultranationalist;Patagonian Ultranationalist;;;;;;;;;;;;;x;;;;
