PCZ;Panama Canal Zone;;;;;;;;;;;;;x;;;;
PCZ_ADJ;Panama Canal Zone;;;;;;;;;;;;;x;;;;
PCZ_social_democrat;Democratic Socialists of Panama Canal Zone;;;;;;;;;;;;;x;;;;
PCZ_socialist;Socialist Party of Panama Canal Zone;;;;;;;;;;;;;x;;;;
PCZ_communist;Communist Party of Panama Canal Zone;;;;;;;;;;;;;x;;;;
PCZ_liberal;Panama Canal Administration - Democrats;;;;;;;;;;;;;x;;;;
PCZ_anarcho_liberal;Panama Canal Zone Libertarian Party;;;;;;;;;;;;;x;;;;
PCZ_green;Panama Canal Zone Green Party;;;;;;;;;;;;;x;;;;
PCZ_conservative;Panama Canal Administration - Republicans;;;;;;;;;;;;;x;;;;
PCZ_nationalist;Panaman Integrationist Movement;;;;;;;;;;;;;x;;;;
PCZ_traditionalist;Panama Canal Administration - Military;;;;;;;;;;;;;x;;;;
PCZ_ultranationalist;Panama Canal Zone Ultranationalist;;;;;;;;;;;;;x;;;;
