PHL;Philippines;;;;;;;;;;;;;x;;;;
PHL_ADJ;Philippines;;;;;;;;;;;;;x;;;;
PHL_social_democrat;Democratic Socialists of Philippines;;;;;;;;;;;;;x;;;;
PHL_socialist;Socialist Party of Philippines;;;;;;;;;;;;;x;;;;
PHL_communist;Philippines Revolutionary Party;;;;;;;;;;;;;x;;;;
PHL_liberal;Philippines Democratic Party;;;;;;;;;;;;;x;;;;
PHL_anarcho_liberal;Philippines Libertarian Party;;;;;;;;;;;;;x;;;;
PHL_green;Philippines Green Party;;;;;;;;;;;;;x;;;;
PHL_conservative;Philippines Republican Party;;;;;;;;;;;;;x;;;;
PHL_nationalist;Philippines Party;;;;;;;;;;;;;x;;;;
PHL_traditionalist;Philippines Constitution Party;;;;;;;;;;;;;x;;;;
PHL_ultranationalist;Philippines Ultranationalist;;;;;;;;;;;;;x;;;;
