PNW;Pacific Northwest;;;;;;;;;;;;;x;;;;
PNW_ADJ;Northwesterner;;;;;;;;;;;;;x;;;;
PNW_social_democrat;Democratic Socialists of the PNW;;;;;;;;;;;;;x;;;;
PNW_socialist;Socialist Party of the Northwest;;;;;;;;;;;;;x;;;;
PNW_communist;Communist Party of the Northwest;;;;;;;;;;;;;x;;;;
PNW_liberal;Pacific Northwest Democratic Party;;;;;;;;;;;;;x;;;;
PNW_anarcho_liberal;Northwestern Libertarian Party;;;;;;;;;;;;;x;;;;
PNW_green;Northwestern Green Party;;;;;;;;;;;;;x;;;;
PNW_conservative;Pacific Northwest Republican Party;;;;;;;;;;;;;x;;;;
PNW_nationalist;Northwestern Independence Party;;;;;;;;;;;;;x;;;;
PNW_traditionalist;Northwestern Constitution Party;;;;;;;;;;;;;x;;;;
PNW_ultranationalist;Northwestern Secessionist Front;;;;;;;;;;;;;x;;;;
