PRD;Pearl River Republic;;;;;;;;;;;;;x;;;;
PRD_ADJ;Pearl River;;;;;;;;;;;;;x;;;;
PRD_social_democrat;Democratic Socialists of the Pearl River;;;;;;;;;;;;;x;;;;
PRD_socialist;Socialist Party of the Pearl River;;;;;;;;;;;;;x;;;;
PRD_communist;Pearl River Revolutionary Party;;;;;;;;;;;;;x;;;;
PRD_liberal;Pearl River Democratic Party;;;;;;;;;;;;;x;;;;
PRD_anarcho_liberal;Pearl River Libertarian Party;;;;;;;;;;;;;x;;;;
PRD_green;Pearl River Green Party;;;;;;;;;;;;;x;;;;
PRD_conservative;Pearl River Republican Party;;;;;;;;;;;;;x;;;;
PRD_nationalist;Pearl River Party;;;;;;;;;;;;;x;;;;
PRD_traditionalist;Pearl River Constitution Party;;;;;;;;;;;;;x;;;;
PRD_ultranationalist;Pearl River Ultranationalist;;;;;;;;;;;;;x;;;;
