PRM;Perm;;;;;;;;;;;;;x;;;;
PRM_ADJ;Perm;;;;;;;;;;;;;x;;;;
PRM_social_democrat;Democratic Socialists of Perm;;;;;;;;;;;;;x;;;;
PRM_socialist;Socialist Party of Perm;;;;;;;;;;;;;x;;;;
PRM_communist;Perm Revolutionary Party;;;;;;;;;;;;;x;;;;
PRM_liberal;Perm Democratic Party;;;;;;;;;;;;;x;;;;
PRM_anarcho_liberal;Perm Libertarian Party;;;;;;;;;;;;;x;;;;
PRM_green;Perm Green Party;;;;;;;;;;;;;x;;;;
PRM_conservative;Perm Republican Party;;;;;;;;;;;;;x;;;;
PRM_nationalist;Perm Party;;;;;;;;;;;;;x;;;;
PRM_traditionalist;Perm Constitution Party;;;;;;;;;;;;;x;;;;
PRM_ultranationalist;Perm Ultranationalist;;;;;;;;;;;;;x;;;;
