
PRU;Peru;;;;;;;;;;;;;x;;;;
PRU_ADJ;Peruvian;;;;;;;;;;;;;x;;;;
PRU_social_democrat;Democratic Socialists of Peru;;;;;;;;;;;;;x;;;;
PRU_socialist;Socialist Party of Peru;;;;;;;;;;;;;x;;;;
PRU_communist;Communist Party of Peru;;;;;;;;;;;;;x;;;;
PRU_liberal;Peruvian Democratic Party;;;;;;;;;;;;;x;;;;
PRU_anarcho_liberal;Peruvian Libertarian Party;;;;;;;;;;;;;x;;;;
PRU_green;Peruvian Green Party;;;;;;;;;;;;;x;;;;
PRU_conservative;Peruvian Republican Party;;;;;;;;;;;;;x;;;;
PRU_nationalist;Peruvian Party;;;;;;;;;;;;;x;;;;
PRU_traditionalist;Peruvian Constitution Party;;;;;;;;;;;;;x;;;;
PRU_ultranationalist;Peruvian Ultranationalist;;;;;;;;;;;;;x;;;;
