QAT;Qatar;;;;;;;;;;;;;x;;;;
QAT_ADJ;Qatar;;;;;;;;;;;;;x;;;;
QAT_social_democrat;Democratic Socialists of Qatar;;;;;;;;;;;;;x;;;;
QAT_socialist;Socialist Party of Qatar;;;;;;;;;;;;;x;;;;
QAT_communist;Qatar Revolutionary Party;;;;;;;;;;;;;x;;;;
QAT_liberal;Qatar Democratic Party;;;;;;;;;;;;;x;;;;
QAT_anarcho_liberal;Qatar Libertarian Party;;;;;;;;;;;;;x;;;;
QAT_green;Qatar Green Party;;;;;;;;;;;;;x;;;;
QAT_conservative;Qatar Republican Party;;;;;;;;;;;;;x;;;;
QAT_nationalist;Qatar Party;;;;;;;;;;;;;x;;;;
QAT_traditionalist;Qatar Constitution Party;;;;;;;;;;;;;x;;;;
QAT_ultranationalist;Qatar Ultranationalist;;;;;;;;;;;;;x;;;;
