RAJ;Rajastan;;;;;;;;;;;;;x;;;;
RAJ_ADJ;Rajastan;;;;;;;;;;;;;x;;;;
RAJ_social_democrat;Democratic Socialists of Rajastan;;;;;;;;;;;;;x;;;;
RAJ_socialist;Socialist Party of Rajastan;;;;;;;;;;;;;x;;;;
RAJ_communist;Rajastan Revolutionary Party;;;;;;;;;;;;;x;;;;
RAJ_liberal;Rajastan Democratic Party;;;;;;;;;;;;;x;;;;
RAJ_anarcho_liberal;Rajastan Libertarian Party;;;;;;;;;;;;;x;;;;
RAJ_green;Rajastan Green Party;;;;;;;;;;;;;x;;;;
RAJ_conservative;Rajastan Republican Party;;;;;;;;;;;;;x;;;;
RAJ_nationalist;Rajastan Party;;;;;;;;;;;;;x;;;;
RAJ_traditionalist;Rajastan Constitution Party;;;;;;;;;;;;;x;;;;
RAJ_ultranationalist;Rajastan Ultranationalist;;;;;;;;;;;;;x;;;;
