RWA;Rwanda;;;;;;;;;;;;;x;;;;
RWA_ADJ;Rwandan;;;;;;;;;;;;x;;;;
RWA_social_democrat;Social Democratic Party of Rwanda;;;;;;;;;;;;;x;;;;
RWA_socialist;Rwanda Independence Party;;;;;;;;;;;;;x;;;;
RWA_communist;Rwanda Revolutionary Party;;;;;;;;;;;;;x;;;;
RWA_liberal;Rwanda Democratic Party;;;;;;;;;;;;;x;;;;
RWA_anarcho_liberal;Rwanda Libertarian Party;;;;;;;;;;;;;x;;;;
RWA_green;Rwanda Green Party;;;;;;;;;;;;;x;;;;
RWA_conservative;Rwanda Conservative Party;;;;;;;;;;;;;x;;;;
RWA_nationalist;Rwanda Party;;;;;;;;;;;;;x;;;;
RWA_traditionalist;Rwanda Constitution Party;;;;;;;;;;;;;x;;;;
RWA_ultranationalist;Rwanda Ultranationalist;;;;;;;;;;;;;x;;;;
