SAS;Sasak;;;;;;;;;;;;;x;;;;
SAS_ADJ;Sasak;;;;;;;;;;;;;x;;;;
SAS_social_democrat;Democratic Socialists of Sasak;;;;;;;;;;;;;x;;;;
SAS_socialist;Socialist Party of Sasak;;;;;;;;;;;;;x;;;;
SAS_communist;Sasak Revolutionary Party;;;;;;;;;;;;;x;;;;
SAS_liberal;Sasak Democratic Party;;;;;;;;;;;;;x;;;;
SAS_anarcho_liberal;Sasak Libertarian Party;;;;;;;;;;;;;x;;;;
SAS_green;Sasak Green Party;;;;;;;;;;;;;x;;;;
SAS_conservative;Sasak Republican Party;;;;;;;;;;;;;x;;;;
SAS_nationalist;Sasak Party;;;;;;;;;;;;;x;;;;
SAS_traditionalist;Sasak Constitution Party;;;;;;;;;;;;;x;;;;
SAS_ultranationalist;Sasak Ultranationalist;;;;;;;;;;;;;x;;;;
