SBW;Sumbawa;;;;;;;;;;;;;x;;;;
SBW_ADJ;Sumbawa;;;;;;;;;;;;;x;;;;
SBW_social_democrat;Democratic Socialists of Sumbawa;;;;;;;;;;;;;x;;;;
SBW_socialist;Socialist Party of Sumbawa;;;;;;;;;;;;;x;;;;
SBW_communist;Sumbawa Revolutionary Party;;;;;;;;;;;;;x;;;;
SBW_liberal;Sumbawa Democratic Party;;;;;;;;;;;;;x;;;;
SBW_anarcho_liberal;Sumbawa Libertarian Party;;;;;;;;;;;;;x;;;;
SBW_green;Sumbawa Green Party;;;;;;;;;;;;;x;;;;
SBW_conservative;Sumbawa Republican Party;;;;;;;;;;;;;x;;;;
SBW_nationalist;Sumbawa Party;;;;;;;;;;;;;x;;;;
SBW_traditionalist;Sumbawa Constitution Party;;;;;;;;;;;;;x;;;;
SBW_ultranationalist;Sumbawa Ultranationalist;;;;;;;;;;;;;x;;;;
