SCO;Scotland;;;;;;;;;;;;;x;;;;
SCO_ADJ;Scottish;;;;;;;;;;;;;x;;;;
SCO_social_democrat;Scottish National Party;;;;;;;;;;;;;x;;;;
SCO_socialist;Scottish Labour Party;;;;;;;;;;;;;x;;;;
SCO_communist;Communist Party of Great Britain;;;;;;;;;;;;;x;;;;
SCO_liberal;Liberal Party of Scotland;;;;;;;;;;;;;x;;;;
SCO_anarcho_liberal;Radical Party of Scotland;;;;;;;;;;;;;x;;;;
SCO_green;Scotland Green Party;;;;;;;;;;;;;x;;;;
SCO_conservative;Conservative Party of Scotland;;;;;;;;;;;;;x;;;;
SCO_nationalist;Scottish National Party (Right);;;;;;;;;;;;;x;;;;
SCO_traditionalist;Celtic Congress of Scotland;;;;;;;;;;;;;x;;;;
SCO_ultranationalist;Siol nan Gaidheal;;;;;;;;;;;;;x;;;;
SCO_unification_title;Unify Scotland;;;;;;;;;;;;;x;;;;
