SGP;Singapore;;;;;;;;;;;;;x;;;;
SGP_ADJ;Singapore;;;;;;;;;;;;;x;;;;
SGP_social_democrat;Democratic Socialists of Singapore;;;;;;;;;;;;;x;;;;
SGP_socialist;Socialist Party of Singapore;;;;;;;;;;;;;x;;;;
SGP_communist;Singapore Revolutionary Party;;;;;;;;;;;;;x;;;;
SGP_liberal;Singapore Democratic Party;;;;;;;;;;;;;x;;;;
SGP_anarcho_liberal;Singapore Libertarian Party;;;;;;;;;;;;;x;;;;
SGP_green;Singapore Green Party;;;;;;;;;;;;;x;;;;
SGP_conservative;Singapore Republican Party;;;;;;;;;;;;;x;;;;
SGP_nationalist;Singapore Party;;;;;;;;;;;;;x;;;;
SGP_traditionalist;Singapore Constitution Party;;;;;;;;;;;;;x;;;;
SGP_ultranationalist;Singapore Ultranationalist;;;;;;;;;;;;;x;;;;
