SHA;Shaanxi;;;;;;;;;;;;;x;;;;
SHA_ADJ;Shaanxi;;;;;;;;;;;;;x;;;;
SHA_social_democrat;Democratic Socialists of Shaanxi;;;;;;;;;;;;;x;;;;
SHA_socialist;Socialist Party of Shaanxi;;;;;;;;;;;;;x;;;;
SHA_communist;Shaanxi Revolutionary Party;;;;;;;;;;;;;x;;;;
SHA_liberal;Shaanxi Democratic Party;;;;;;;;;;;;;x;;;;
SHA_anarcho_liberal;Shaanxi Libertarian Party;;;;;;;;;;;;;x;;;;
SHA_green;Shaanxi Green Party;;;;;;;;;;;;;x;;;;
SHA_conservative;Shaanxi Republican Party;;;;;;;;;;;;;x;;;;
SHA_nationalist;Shaanxi Party;;;;;;;;;;;;;x;;;;
SHA_traditionalist;Shaanxi Constitution Party;;;;;;;;;;;;;x;;;;
SHA_ultranationalist;Shaanxi Ultranationalist;;;;;;;;;;;;;x;;;;
