SJY;Srivijaya;;;;;;;;;;;;;x;;;;
SJY_ADJ;Srivijaya;;;;;;;;;;;;;x;;;;
SJY_social_democrat;Democratic Socialists of Srivijaya;;;;;;;;;;;;;x;;;;
SJY_socialist;Socialist Party of Srivijaya;;;;;;;;;;;;;x;;;;
SJY_communist;Srivijaya Revolutionary Party;;;;;;;;;;;;;x;;;;
SJY_liberal;Srivijaya Democratic Party;;;;;;;;;;;;;x;;;;
SJY_anarcho_liberal;Srivijaya Libertarian Party;;;;;;;;;;;;;x;;;;
SJY_green;Srivijaya Green Party;;;;;;;;;;;;;x;;;;
SJY_conservative;Srivijaya Republican Party;;;;;;;;;;;;;x;;;;
SJY_nationalist;Srivijaya Party;;;;;;;;;;;;;x;;;;
SJY_traditionalist;Srivijaya Constitution Party;;;;;;;;;;;;;x;;;;
SJY_ultranationalist;Srivijaya Ultranationalist;;;;;;;;;;;;;x;;;;
