SMT;Sumatra;;;;;;;;;;;;;x;;;;
SMT_ADJ;Sumatra;;;;;;;;;;;;;x;;;;
SMT_social_democrat;Democratic Socialists of Sumatra;;;;;;;;;;;;;x;;;;
SMT_socialist;Socialist Party of Sumatra;;;;;;;;;;;;;x;;;;
SMT_communist;Sumatra Revolutionary Party;;;;;;;;;;;;;x;;;;
SMT_liberal;Sumatra Democratic Party;;;;;;;;;;;;;x;;;;
SMT_anarcho_liberal;Sumatra Libertarian Party;;;;;;;;;;;;;x;;;;
SMT_green;Sumatra Green Party;;;;;;;;;;;;;x;;;;
SMT_conservative;Sumatra Republican Party;;;;;;;;;;;;;x;;;;
SMT_nationalist;Sumatra Party;;;;;;;;;;;;;x;;;;
SMT_traditionalist;Sumatra Constitution Party;;;;;;;;;;;;;x;;;;
SMT_ultranationalist;Sumatra Ultranationalist;;;;;;;;;;;;;x;;;;
