SNG;Senegambia;;;;;;;;;;;;;x;;;;
SNG_ADJ;Senegambian;;;;;;;;;;;;;x;;;;
SNG_social_democrat;Democratic Socialists of Senegambia;;;;;;;;;;;;;x;;;;
SNG_socialist;Socialist Party of Senegambia;;;;;;;;;;;;;x;;;;
SNG_communist;Senegambia Revolutionary Party;;;;;;;;;;;;;x;;;;
SNG_liberal;Senegambia Democratic Party;;;;;;;;;;;;;x;;;;
SNG_anarcho_liberal;Senegambia Libertarian Party;;;;;;;;;;;;;x;;;;
SNG_green;Senegambia Green Party;;;;;;;;;;;;;x;;;;
SNG_conservative;Senegambia Republican Party;;;;;;;;;;;;;x;;;;
SNG_nationalist;Senegambia Party;;;;;;;;;;;;;x;;;;
SNG_traditionalist;Senegambia Constitution Party;;;;;;;;;;;;;x;;;;
SNG_ultranationalist;Senegambia Ultranationalist;;;;;;;;;;;;;x;;;;
