SOA;South Australia;;;;;;;;;;;;;x;;;;
SOA_ADJ;South Australia;;;;;;;;;;;;;x;;;;
SOA_social_democrat;Democratic Socialists of South Australia;;;;;;;;;;;;;x;;;;
SOA_socialist;Socialist Party of South Australia;;;;;;;;;;;;;x;;;;
SOA_communist;South Australia Revolutionary Party;;;;;;;;;;;;;x;;;;
SOA_liberal;South Australia Democratic Party;;;;;;;;;;;;;x;;;;
SOA_anarcho_liberal;South Australia Libertarian Party;;;;;;;;;;;;;x;;;;
SOA_green;South Australia Green Party;;;;;;;;;;;;;x;;;;
SOA_conservative;South Australia Republican Party;;;;;;;;;;;;;x;;;;
SOA_nationalist;South Australia Party;;;;;;;;;;;;;x;;;;
SOA_traditionalist;South Australia Constitution Party;;;;;;;;;;;;;x;;;;
SOA_ultranationalist;South Australia Ultranationalist;;;;;;;;;;;;;x;;;;
