SRL;Sri Lanka;;;;;;;;;;;;;x;;;;
SRL_ADJ;Sri Lanka;;;;;;;;;;;;;x;;;;
SRL_social_democrat;Democratic Socialists of Sri Lanka;;;;;;;;;;;;;x;;;;
SRL_socialist;Socialist Party of Sri Lanka;;;;;;;;;;;;;x;;;;
SRL_communist;Sri Lanka Revolutionary Party;;;;;;;;;;;;;x;;;;
SRL_liberal;Sri Lanka Democratic Party;;;;;;;;;;;;;x;;;;
SRL_anarcho_liberal;Sri Lanka Libertarian Party;;;;;;;;;;;;;x;;;;
SRL_green;Sri Lanka Green Party;;;;;;;;;;;;;x;;;;
SRL_conservative;Sri Lanka Republican Party;;;;;;;;;;;;;x;;;;
SRL_nationalist;Sri Lanka Party;;;;;;;;;;;;;x;;;;
SRL_traditionalist;Sri Lanka Constitution Party;;;;;;;;;;;;;x;;;;
SRL_ultranationalist;Sri Lanka Ultranationalist;;;;;;;;;;;;;x;;;;
