SRW;Sarawak;;;;;;;;;;;;;x;;;;
SRW_ADJ;Sarawak;;;;;;;;;;;;x;;;;
SRW_social_democrat;Social Democratic Party of Sarawak;;;;;;;;;;;;;x;;;;
SRW_socialist;Sarawak Independence Party;;;;;;;;;;;;;x;;;;
SRW_communist;Sarawak Revolutionary Party;;;;;;;;;;;;;x;;;;
SRW_liberal;Sarawak Democratic Party;;;;;;;;;;;;;x;;;;
SRW_anarcho_liberal;Sarawak Libertarian Party;;;;;;;;;;;;;x;;;;
SRW_green;Sarawak Green Party;;;;;;;;;;;;;x;;;;
SRW_conservative;Sarawak Conservative Party;;;;;;;;;;;;;x;;;;
SRW_nationalist;Sarawak Party;;;;;;;;;;;;;x;;;;
SRW_traditionalist;Sarawak Constitution Party;;;;;;;;;;;;;x;;;;
SRW_ultranationalist;Sarawak Ultranationalist;;;;;;;;;;;;;x;;;;
