SUD;Sudan;;;;;;;;;;;;;x;;;;
SUD_ADJ;Sudanese;;;;;;;;;;;;;x;;;;
SUD_social_democrat;Democratic Socialists of Sudan;;;;;;;;;;;;;x;;;;
SUD_socialist;Socialist Party of Sudan;;;;;;;;;;;;;x;;;;
SUD_communist;Sudan Revolutionary Party;;;;;;;;;;;;;x;;;;
SUD_liberal;Sudan Democratic Party;;;;;;;;;;;;;x;;;;
SUD_anarcho_liberal;Sudan Libertarian Party;;;;;;;;;;;;;x;;;;
SUD_green;Sudan Green Party;;;;;;;;;;;;;x;;;;
SUD_conservative;Sudan Republican Party;;;;;;;;;;;;;x;;;;
SUD_nationalist;Sudan Party;;;;;;;;;;;;;x;;;;
SUD_traditionalist;Sudan Constitution Party;;;;;;;;;;;;;x;;;;
SUD_ultranationalist;Sudan Ultranationalist;;;;;;;;;;;;;x;;;;
