SUR;Suriname;;;;;;;;;;;;;x;;;;
SUR_ADJ;Surinamen;;;;;;;;;;;;;x;;;;
SUR_social_democrat;Democratic Socialists of Suriname;;;;;;;;;;;;;x;;;;
SUR_socialist;Socialist Party of Suriname;;;;;;;;;;;;;x;;;;
SUR_communist;Revolutionary Armed Forces of Suriname;;;;;;;;;;;;;x;;;;
SUR_liberal;Surinamen Democratic Party;;;;;;;;;;;;;x;;;;
SUR_anarcho_liberal;Surinamen Libertarian Party;;;;;;;;;;;;;x;;;;
SUR_green;Surinamen Green Party;;;;;;;;;;;;;x;;;;
SUR_conservative;Surinamen Republican Party;;;;;;;;;;;;;x;;;;
SUR_nationalist;Surinamen Independance Party;;;;;;;;;;;;;x;;;;
SUR_traditionalist;Surinamen Traditionalist;;;;;;;;;;;;;x;;;;
SUR_ultranationalist;Surinamen Ultranationalists;;;;;;;;;;;;;x;;;;
