SYM;South Yemen;;;;;;;;;;;;;x;;;;
SYM_ADJ;South Yemen;;;;;;;;;;;;;x;;;;
SYM_social_democrat;Democratic Socialists of South Yemen;;;;;;;;;;;;;x;;;;
SYM_socialist;Socialist Party of South Yemen;;;;;;;;;;;;;x;;;;
SYM_communist;Yemeni Socialist Party;;;;;;;;;;;;;x;;;;
SYM_liberal;South Yemen Democratic Party;;;;;;;;;;;;;x;;;;
SYM_anarcho_liberal;South Yemen Libertarian Party;;;;;;;;;;;;;x;;;;
SYM_green;South Yemen Green Party;;;;;;;;;;;;;x;;;;
SYM_conservative;South Yemen Republican Party;;;;;;;;;;;;;x;;;;
SYM_nationalist;South Yemen Party;;;;;;;;;;;;;x;;;;
SYM_traditionalist;South Yemen Constitution Party;;;;;;;;;;;;;x;;;;
SYM_ultranationalist;South Yemen Ultranationalist;;;;;;;;;;;;;x;;;;
