TAS;Tasmania;;;;;;;;;;;;;x;;;;
TAS_ADJ;Tasmanian;;;;;;;;;;;;x;;;;
TAS_social_democrat;Democratic Socialists of Tasmania;;;;;;;;;;;;;x;;;;
TAS_socialist;Tasmania Independence Party;;;;;;;;;;;;;x;;;;
TAS_communist;Tasmania Revolutionary Party;;;;;;;;;;;;;x;;;;
TAS_liberal;Tasmania Democratic Party;;;;;;;;;;;;;x;;;;
TAS_anarcho_liberal;Tasmania Libertarian Party;;;;;;;;;;;;;x;;;;
TAS_green;Tasmania Green Party;;;;;;;;;;;;;x;;;;
TAS_conservative;Tasmania Republican Party;;;;;;;;;;;;;x;;;;
TAS_nationalist;Tasmania Party;;;;;;;;;;;;;x;;;;
TAS_traditionalist;Tasmania Constitution Party;;;;;;;;;;;;;x;;;;
TAS_ultranationalist;Tasmania Ultranationalist;;;;;;;;;;;;;x;;;;
