TAT;Tatarstan;;;;;;;;;;;;;x;;;;
TAT_ADJ;Tatarstan;;;;;;;;;;;;;x;;;;
TAT_social_democrat;Democratic Socialists of Tatarstan;;;;;;;;;;;;;x;;;;
TAT_socialist;Socialist Party of Tatarstan;;;;;;;;;;;;;x;;;;
TAT_communist;Tatarstan Revolutionary Party;;;;;;;;;;;;;x;;;;
TAT_liberal;Tatarstan Democratic Party;;;;;;;;;;;;;x;;;;
TAT_anarcho_liberal;Tatarstan Libertarian Party;;;;;;;;;;;;;x;;;;
TAT_green;Tatarstan Green Party;;;;;;;;;;;;;x;;;;
TAT_conservative;Tatarstan Republican Party;;;;;;;;;;;;;x;;;;
TAT_nationalist;Tatarstan Party;;;;;;;;;;;;;x;;;;
TAT_traditionalist;Tatarstan Constitution Party;;;;;;;;;;;;;x;;;;
TAT_ultranationalist;Tatarstan Ultranationalist;;;;;;;;;;;;;x;;;;
