TIP;Tipura;;;;;;;;;;;;;x;;;;
TIP_ADJ;Tipura;;;;;;;;;;;;;x;;;;
TIP_social_democrat;Democratic Socialists of Tipura;;;;;;;;;;;;;x;;;;
TIP_socialist;Socialist Party of Tipura;;;;;;;;;;;;;x;;;;
TIP_communist;Tipura Revolutionary Party;;;;;;;;;;;;;x;;;;
TIP_liberal;Tipura Democratic Party;;;;;;;;;;;;;x;;;;
TIP_anarcho_liberal;Tipura Libertarian Party;;;;;;;;;;;;;x;;;;
TIP_green;Tipura Green Party;;;;;;;;;;;;;x;;;;
TIP_conservative;Tipura Republican Party;;;;;;;;;;;;;x;;;;
TIP_nationalist;Tipura Party;;;;;;;;;;;;;x;;;;
TIP_traditionalist;Tipura Constitution Party;;;;;;;;;;;;;x;;;;
TIP_ultranationalist;Tipura Ultranationalist;;;;;;;;;;;;;x;;;;
