TKY;Tokyo;;;;;;;;;;;;;x;;;;
TKY_ADJ;Tokyo;;;;;;;;;;;;;x;;;;
TKY_social_democrat;Democratic Socialists of Tokyo;;;;;;;;;;;;;x;;;;
TKY_socialist;Socialist Party of Tokyo;;;;;;;;;;;;;x;;;;
TKY_communist;Tokyo Revolutionary Party;;;;;;;;;;;;;x;;;;
TKY_liberal;Tokyo Democratic Party;;;;;;;;;;;;;x;;;;
TKY_anarcho_liberal;Tokyo Libertarian Party;;;;;;;;;;;;;x;;;;
TKY_green;Tokyo Green Party;;;;;;;;;;;;;x;;;;
TKY_conservative;Tokyo Republican Party;;;;;;;;;;;;;x;;;;
TKY_nationalist;Tokyo Party;;;;;;;;;;;;;x;;;;
TKY_traditionalist;Tokyo Constitution Party;;;;;;;;;;;;;x;;;;
TKY_ultranationalist;Tokyo Ultranationalist;;;;;;;;;;;;;x;;;;
