TOK;Tokelau;;;;;;;;;;;;;x;;;;
TOK_ADJ;Tokelau;;;;;;;;;;;;;x;;;;
TOK_social_democrat;Democratic Socialists of Tokelau;;;;;;;;;;;;;x;;;;
TOK_socialist;Socialist Party of Tokelau;;;;;;;;;;;;;x;;;;
TOK_communist;Tokelau Revolutionary Party;;;;;;;;;;;;;x;;;;
TOK_liberal;Tokelau Democratic Party;;;;;;;;;;;;;x;;;;
TOK_anarcho_liberal;Tokelau Libertarian Party;;;;;;;;;;;;;x;;;;
TOK_green;Tokelau Green Party;;;;;;;;;;;;;x;;;;
TOK_conservative;Tokelau Republican Party;;;;;;;;;;;;;x;;;;
TOK_nationalist;Tokelau Party;;;;;;;;;;;;;x;;;;
TOK_traditionalist;Tokelau Constitution Party;;;;;;;;;;;;;x;;;;
TOK_ultranationalist;Tokelau Ultranationalist;;;;;;;;;;;;;x;;;;
