TPN;Tapanuli;;;;;;;;;;;;;x;;;;
TPN_ADJ;Tapanuli;;;;;;;;;;;;;x;;;;
TPN_social_democrat;Democratic Socialists of Tapanuli;;;;;;;;;;;;;x;;;;
TPN_socialist;Socialist Party of Tapanuli;;;;;;;;;;;;;x;;;;
TPN_communist;Tapanuli Revolutionary Party;;;;;;;;;;;;;x;;;;
TPN_liberal;Tapanuli Democratic Party;;;;;;;;;;;;;x;;;;
TPN_anarcho_liberal;Tapanuli Libertarian Party;;;;;;;;;;;;;x;;;;
TPN_green;Tapanuli Green Party;;;;;;;;;;;;;x;;;;
TPN_conservative;Tapanuli Republican Party;;;;;;;;;;;;;x;;;;
TPN_nationalist;Tapanuli Party;;;;;;;;;;;;;x;;;;
TPN_traditionalist;Tapanuli Constitution Party;;;;;;;;;;;;;x;;;;
TPN_ultranationalist;Tapanuli Ultranationalist;;;;;;;;;;;;;x;;;;
