TRO;Transorinoco;;;;;;;;;;;;;x;;;;
TRO_ADJ;Transorinocan;;;;;;;;;;;;;x;;;;
TRO_social_democrat;Democratic Socialists of Transorinoco;;;;;;;;;;;;;x;;;;
TRO_socialist;Socialist Party of Transorinoco;;;;;;;;;;;;;x;;;;
TRO_communist;Revolutionary Armed Forces of Transorinoco;;;;;;;;;;;;;x;;;;
TRO_liberal;Transorinocan Democratic Party;;;;;;;;;;;;;x;;;;
TRO_anarcho_liberal;Transorinocan Libertarian Party;;;;;;;;;;;;;x;;;;
TRO_green;Transorinocan Green Party;;;;;;;;;;;;;x;;;;
TRO_conservative;Transorinocan Republican Party;;;;;;;;;;;;;x;;;;
TRO_nationalist;Transorinocan Independance Party;;;;;;;;;;;;;x;;;;
TRO_traditionalist;Transorinocan Traditionalist;;;;;;;;;;;;;x;;;;
TRO_ultranationalist;Transorinocan Ultranationalists;;;;;;;;;;;;;x;;;;
