TRZ;Trarza;;;;;;;;;;;;;x;;;;
TRZ_ADJ;Trarza;;;;;;;;;;;;;x;;;;
TRZ_social_democrat;Democratic Socialists of Trarza;;;;;;;;;;;;;x;;;;
TRZ_socialist;Socialist Party of Trarza;;;;;;;;;;;;;x;;;;
TRZ_communist;Trarza Revolutionary Party;;;;;;;;;;;;;x;;;;
TRZ_liberal;Trarza Democratic Party;;;;;;;;;;;;;x;;;;
TRZ_anarcho_liberal;Trarza Libertarian Party;;;;;;;;;;;;;x;;;;
TRZ_green;Trarza Green Party;;;;;;;;;;;;;x;;;;
TRZ_conservative;Trarza Republican Party;;;;;;;;;;;;;x;;;;
TRZ_nationalist;Trarza Party;;;;;;;;;;;;;x;;;;
TRZ_traditionalist;Trarza Constitution Party;;;;;;;;;;;;;x;;;;
TRZ_ultranationalist;Trarza Ultranationalist;;;;;;;;;;;;;x;;;;
