TUS;Tunisia;;;;;;;;;;;;;x;;;;
TUS_ADJ;Tunisian;;;;;;;;;;;;;x;;;;
TUS_social_democrat;Democratic Socialists of Tunisia;;;;;;;;;;;;;x;;;;
TUS_socialist;Socialist Party of Tunisia;;;;;;;;;;;;;x;;;;
TUS_communist;Tunisia Revolutionary Party;;;;;;;;;;;;;x;;;;
TUS_liberal;Tunisia Democratic Party;;;;;;;;;;;;;x;;;;
TUS_anarcho_liberal;Tunisia Libertarian Party;;;;;;;;;;;;;x;;;;
TUS_green;Tunisia Green Party;;;;;;;;;;;;;x;;;;
TUS_conservative;Tunisia Republican Party;;;;;;;;;;;;;x;;;;
TUS_nationalist;Tunisia Party;;;;;;;;;;;;;x;;;;
TUS_traditionalist;Tunisia Constitution Party;;;;;;;;;;;;;x;;;;
TUS_ultranationalist;Tunisia Ultranationalist;;;;;;;;;;;;;x;;;;
