TVU;Tuvalu;;;;;;;;;;;;;x;;;;
TVU_ADJ;Tuvalu;;;;;;;;;;;;;x;;;;
TVU_social_democrat;Democratic Socialists of Tuvalu;;;;;;;;;;;;;x;;;;
TVU_socialist;Socialist Party of Tuvalu;;;;;;;;;;;;;x;;;;
TVU_communist;Tuvalu Revolutionary Party;;;;;;;;;;;;;x;;;;
TVU_liberal;Tuvalu Democratic Party;;;;;;;;;;;;;x;;;;
TVU_anarcho_liberal;Tuvalu Libertarian Party;;;;;;;;;;;;;x;;;;
TVU_green;Tuvalu Green Party;;;;;;;;;;;;;x;;;;
TVU_conservative;Tuvalu Republican Party;;;;;;;;;;;;;x;;;;
TVU_nationalist;Tuvalu Party;;;;;;;;;;;;;x;;;;
TVU_traditionalist;Tuvalu Constitution Party;;;;;;;;;;;;;x;;;;
TVU_ultranationalist;Tuvalu Ultranationalist;;;;;;;;;;;;;x;;;;
