UBA;Ubangi;;;;;;;;;;;;;x;;;;
UBA_ADJ;Ubangi;;;;;;;;;;;;;x;;;;
UBA_social_democrat;Democratic Socialists of Ubangi;;;;;;;;;;;;;x;;;;
UBA_socialist;Socialist Party of Ubangi;;;;;;;;;;;;;x;;;;
UBA_communist;Ubangi Revolutionary Party;;;;;;;;;;;;;x;;;;
UBA_liberal;Ubangi Democratic Party;;;;;;;;;;;;;x;;;;
UBA_anarcho_liberal;Ubangi Libertarian Party;;;;;;;;;;;;;x;;;;
UBA_green;Ubangi Green Party;;;;;;;;;;;;;x;;;;
UBA_conservative;Ubangi Republican Party;;;;;;;;;;;;;x;;;;
UBA_nationalist;Ubangi Party;;;;;;;;;;;;;x;;;;
UBA_traditionalist;Ubangi Constitution Party;;;;;;;;;;;;;x;;;;
UBA_ultranationalist;Ubangi Ultranationalist;;;;;;;;;;;;;x;;;;
