UGL;Great Lakes;;;;;;;;;;;;;x;;;;
UGL_ADJ;Lakesian;;;;;;;;;;;;;x;;;;
UGL_social_democrat;Democratic Socialists of the Great Lakes;;;;;;;;;;;;;x;;;;
UGL_socialist;Socialist Party of the Great Lakes;;;;;;;;;;;;;x;;;;
UGL_communist;Great Lakes Communist Party;;;;;;;;;;;;;x;;;;
UGL_liberal;Great Lakes Democratic Party;;;;;;;;;;;;;x;;;;
UGL_anarcho_liberal;Great Lakes Libertarian Party;;;;;;;;;;;;;x;;;;
UGL_green;Great Lakes Green Party;;;;;;;;;;;;;x;;;;
UGL_conservative;Great Lakes Republican Party;;;;;;;;;;;;;x;;;;
UGL_nationalist;Union Party - Moderate;;;;;;;;;;;;;x;;;;
UGL_traditionalist;Great Lakes Constitution Party;;;;;;;;;;;;;x;;;;
UGL_ultranationalist;Union Party - Radical;;;;;;;;;;;;;x;;;;
