UMW;Upper Midwest;;;;;;;;;;;;;x;;;;
UMW_ADJ;Upper Midwestern;;;;;;;;;;;;;x;;;;
UMW_social_democrat;Democratic Socialists of the UMW;;;;;;;;;;;;;x;;;;
UMW_socialist;UMW Socialist Party;;;;;;;;;;;;;x;;;;
UMW_communist;UMW Communist Party;;;;;;;;;;;;;x;;;;
UMW_liberal;UMW Democratic Party;;;;;;;;;;;;;x;;;;
UMW_anarcho_liberal;Upper Midwest Libertarian Party;;;;;;;;;;;;;x;;;;
UMW_green;Green Party of the UMW;;;;;;;;;;;;;x;;;;
UMW_conservative;UMW Republican Party;;;;;;;;;;;;;x;;;;
UMW_nationalist;Upper Midwest Autonomists;;;;;;;;;;;;;x;;;;
UMW_traditionalist;Constitution Party of the UMW;;;;;;;;;;;;;x;;;;
UMW_ultranationalist;Greater Midwestern Scion;;;;;;;;;;;;;x;;;;
